Name;Styles;Allow left overflow;Allow right overflow;Base;Comp. 2;Comp. 3;Comp. 4
i;3;1;1;dotlessi;uni0307;;
j;3;1;1;uni0237;uni0307;;
Agrave;3;1;1;A;gravecomb;;
Aacute;3;1;1;A;acutecomb;;
Acircumflex;3;1;1;A;uni0302;;
Atilde;3;1;1;A;tildecomb;;
Adieresis;3;1;1;A;uni0308;;
Aring;3;1;1;A;uni030A;;
Ccedilla;3;1;1;C;uni0327;;
Egrave;3;1;1;E;gravecomb;;
Eacute;3;1;1;E;acutecomb;;
Ecircumflex;3;1;1;E;uni0302;;
Edieresis;3;1;1;E;uni0308;;
Igrave;3;1;1;I;gravecomb;;
Iacute;3;1;1;I;acutecomb;;
Icircumflex;3;1;1;I;uni0302;;
Idieresis;3;1;1;I;uni0308;;
Ograve;3;1;1;O;gravecomb;;
Oacute;3;1;1;O;acutecomb;;
Ocircumflex;3;1;1;O;uni0302;;
Otilde;3;1;1;O;tildecomb;;
Odieresis;3;1;1;O;uni0308;;
Ugrave;3;1;1;U;gravecomb;;
Uacute;3;1;1;U;acutecomb;;
Ucircumflex;3;1;1;U;uni0302;;
Udieresis;3;1;1;U;uni0308;;
Yacute;3;1;1;Y;acutecomb;;
agrave;3;1;1;a;gravecomb;;
aacute;3;1;1;a;acutecomb;;
acircumflex;3;1;1;a;uni0302;;
atilde;3;1;1;a;tildecomb;;
adieresis;3;1;1;a;uni0308;;
aring;3;1;1;a;uni030A;;
ccedilla;3;1;1;c;uni0327;;
egrave;3;1;1;e;gravecomb;;
eacute;3;1;1;e;acutecomb;;
ecircumflex;3;1;1;e;uni0302;;
edieresis;3;1;1;e;uni0308;;
igrave;3;1;1;dotlessi;gravecomb;;
iacute;3;1;1;dotlessi;acutecomb;;
icircumflex;3;1;1;dotlessi;uni0302;;
idieresis;3;1;1;dotlessi;uni0308;;
ntilde;3;1;1;n;tildecomb;;
ograve;3;1;1;o;gravecomb;;
oacute;3;1;1;o;acutecomb;;
ocircumflex;3;1;1;o;uni0302;;
otilde;3;1;1;o;tildecomb;;
odieresis;3;1;1;o;uni0308;;
ugrave;3;1;1;u;gravecomb;;
uacute;3;1;1;u;acutecomb;;
ucircumflex;3;1;1;u;uni0302;;
udieresis;3;1;1;u;uni0308;;
yacute;3;1;1;y;acutecomb;;
Amacron;3;1;1;A;uni0304;;
amacron;3;1;1;a;uni0304;;
Abreve;3;1;1;A;uni0306;;
abreve;3;1;1;a;uni0306;;
Aogonek;3;1;1;A;uni0328;;
aogonek;3;1;1;a;uni0328;;
Cacute;3;1;1;C;acutecomb;;
cacute;3;1;1;c;acutecomb;;
Ccircumflex;3;1;1;C;uni0302;;
ccircumflex;3;1;1;c;uni0302;;
Cdotaccent;3;1;1;C;uni0307;;
cdotaccent;3;1;1;c;uni0307;;
Ccaron;3;1;1;C;uni030C;;
ccaron;3;1;1;c;uni030C;;
Dcaron;3;1;1;D;uni030C;;
Emacron;3;1;1;E;uni0304;;
emacron;3;1;1;e;uni0304;;
Ebreve;3;1;1;E;uni0306;;
ebreve;3;1;1;e;uni0306;;
Edotaccent;3;1;1;E;uni0307;;
edotaccent;3;1;1;e;uni0307;;
Eogonek;3;1;1;E;uni0328;;
eogonek;3;1;1;e;uni0328;;
Ecaron;3;1;1;E;uni030C;;
ecaron;3;1;1;e;uni030C;;
Gcircumflex;3;1;1;G;uni0302;;
gcircumflex;3;1;1;g;uni0302;;
Gbreve;3;1;1;G;uni0306;;
gbreve;3;1;1;g;uni0306;;
Gdotaccent;3;1;1;G;uni0307;;
gdotaccent;3;1;1;g;uni0307;;
Gcommaaccent;3;1;1;G;uni0326;;
gcommaaccent;3;1;1;g;uni0312;;
Hcircumflex;3;1;1;H;uni0302;;
hcircumflex;3;1;1;h;uni0302;;
Itilde;3;1;1;I;tildecomb;;
itilde;3;1;1;dotlessi;tildecomb;;
Imacron;3;1;1;I;uni0304;;
imacron;3;1;1;dotlessi;uni0304;;
Ibreve;3;1;1;I;uni0306;;
ibreve;3;1;1;dotlessi;uni0306;;
Iogonek;3;1;1;I;uni0328;;
iogonek;3;1;1;dotlessi;uni0328;;
Idotaccent;3;1;1;I;uni0307;;
Jcircumflex;3;1;1;J;uni0302;;
jcircumflex;3;1;1;uni0237;uni0302;;
Kcommaaccent;3;1;1;K;uni0326;;
kcommaaccent;3;1;1;k;uni0326;;
Lacute;3;1;1;L;acutecomb;;
lacute;3;1;1;l;acutecomb;;
Lcommaaccent;3;1;1;L;uni0326;;
lcommaaccent;3;1;1;l;uni0326;;
Nacute;3;1;1;N;acutecomb;;
nacute;3;1;1;n;acutecomb;;
Ncommaaccent;3;1;1;N;uni0326;;
ncommaaccent;3;1;1;n;uni0326;;
Ncaron;3;1;1;N;uni030C;;
ncaron;3;1;1;n;uni030C;;
Omacron;3;1;1;O;uni0304;;
omacron;3;1;1;o;uni0304;;
Obreve;3;1;1;O;uni0306;;
obreve;3;1;1;o;uni0306;;
Ohungarumlaut;3;1;1;O;uni030B;;
ohungarumlaut;3;1;1;o;uni030B;;
Racute;3;1;1;R;acutecomb;;
racute;3;1;1;r;acutecomb;;
Rcommaaccent;3;1;1;R;uni0326;;
rcommaaccent;3;1;1;r;uni0326;;
Rcaron;3;1;1;R;uni030C;;
rcaron;3;1;1;r;uni030C;;
Sacute;3;1;1;S;acutecomb;;
sacute;3;1;1;s;acutecomb;;
Scircumflex;3;1;1;S;uni0302;;
scircumflex;3;1;1;s;uni0302;;
Scedilla;3;1;1;S;uni0327;;
scedilla;3;1;1;s;uni0327;;
Scaron;3;1;1;S;uni030C;;
scaron;3;1;1;s;uni030C;;
uni0162;3;1;1;T;uni0327;;
uni0163;3;1;1;t;uni0327;;
Tcaron;3;1;1;T;uni030C;;
Utilde;3;1;1;U;tildecomb;;
utilde;3;1;1;u;tildecomb;;
Umacron;3;1;1;U;uni0304;;
umacron;3;1;1;u;uni0304;;
Ubreve;3;1;1;U;uni0306;;
ubreve;3;1;1;u;uni0306;;
Uring;3;1;1;U;uni030A;;
uring;3;1;1;u;uni030A;;
Uhungarumlaut;3;1;1;U;uni030B;;
uhungarumlaut;3;1;1;u;uni030B;;
Uogonek;3;1;1;U;uni0328;;
uogonek;3;1;1;u;uni0328;;
Wcircumflex;3;1;1;W;uni0302;;
wcircumflex;3;1;1;w;uni0302;;
Ycircumflex;3;1;1;Y;uni0302;;
ycircumflex;3;1;1;y;uni0302;;
Ydieresis;3;1;1;Y;uni0308;;
Zacute;3;1;1;Z;acutecomb;;
zacute;3;1;1;z;acutecomb;;
Zdotaccent;3;1;1;Z;uni0307;;
zdotaccent;3;1;1;z;uni0307;;
Zcaron;3;1;1;Z;uni030C;;
zcaron;3;1;1;z;uni030C;;
Ohorn;3;1;1;O;uni031B;;
ohorn;3;1;1;o;uni031B;;
Uhorn;3;1;1;U;uni031B;;
uhorn;3;1;1;u;uni031B;;
uni01CD;3;1;1;A;uni030C;;
uni01CE;3;1;1;a;uni030C;;
uni01CF;3;1;1;I;uni030C;;
uni01D0;3;1;1;dotlessi;uni030C;;
uni01D1;3;1;1;O;uni030C;;
uni01D2;3;1;1;o;uni030C;;
uni01D3;3;1;1;U;uni030C;;
uni01D4;3;1;1;u;uni030C;;
uni01D5;3;1;1;U;uni0308.case;uni0304.case;
uni01D6;3;1;1;u;uni0308;uni0304;
uni01D7;3;1;1;U;uni0308_acutecomb;;
uni01D8;3;1;1;u;uni0308_acutecomb;;
uni01D9;3;1;1;U;uni0308_uni030C;;
uni01DA;3;1;1;u;uni0308_uni030C;;
uni01DB;3;1;1;U;uni0308_gravecomb;;
uni01DC;3;1;1;u;uni0308_gravecomb;;
uni01DE;3;1;1;A;uni0308.case;uni0304.case;
uni01DF;3;1;1;a;uni0308;uni0304;
uni01E0;3;1;1;A;uni0307.case;uni0304.case;
uni01E1;3;1;1;a;uni0307;uni0304;
uni01E2;3;1;1;AE;uni0304;;
uni01E3;3;1;1;ae;uni0304;;
Gcaron;3;1;1;G;uni030C;;
gcaron;3;1;1;g;uni030C;;
uni01E8;3;1;1;K;uni030C;;
uni01E9;3;1;1;k;uni030C;;
uni01EA;3;1;1;O;uni0328;;
uni01EB;3;1;1;o;uni0328;;
uni01EC;3;1;1;O;uni0328;uni0304;
uni01ED;3;1;1;o;uni0328;uni0304;
uni01EE;3;1;1;uni01B7;uni030C;;
uni01EF;3;1;1;uni0292;uni030C;;
uni01F0;3;1;1;uni0237;uni030C;;
uni01F4;3;1;1;G;acutecomb;;
uni01F5;3;1;1;g;acutecomb;;
uni01F8;3;1;1;N;gravecomb;;
uni01F9;3;1;1;n;gravecomb;;
Aringacute;3;1;1;A;uni030A_acutecomb;;
aringacute;3;1;1;a;uni030A_acutecomb;;
AEacute;3;1;1;AE;acutecomb;;
aeacute;3;1;1;ae;acutecomb;;
Oslashacute;3;1;1;Oslash;acutecomb;;
oslashacute;3;1;1;oslash;acutecomb;;
uni0200;3;1;1;A;uni030F;;
uni0201;3;1;1;a;uni030F;;
uni0202;3;1;1;A;uni0311;;
uni0203;3;1;1;a;uni0311;;
uni0204;3;1;1;E;uni030F;;
uni0205;3;1;1;e;uni030F;;
uni0206;3;1;1;E;uni0311;;
uni0207;3;1;1;e;uni0311;;
uni0208;3;1;1;I;uni030F;;
uni0209;3;1;1;dotlessi;uni030F;;
uni020A;3;1;1;I;uni0311;;
uni020B;3;1;1;dotlessi;uni0311;;
uni020C;3;1;1;O;uni030F;;
uni020D;3;1;1;o;uni030F;;
uni020E;3;1;1;O;uni0311;;
uni020F;3;1;1;o;uni0311;;
uni0210;3;1;1;R;uni030F;;
uni0211;3;1;1;r;uni030F;;
uni0212;3;1;1;R;uni0311;;
uni0213;3;1;1;r;uni0311;;
uni0214;3;1;1;U;uni030F;;
uni0215;3;1;1;u;uni030F;;
uni0216;3;1;1;U;uni0311;;
uni0217;3;1;1;u;uni0311;;
Scommaaccent;3;1;1;S;uni0326;;
scommaaccent;3;1;1;s;uni0326;;
uni021A;3;1;1;T;uni0326;;
uni021B;3;1;1;t;uni0326;;
uni021E;3;1;1;H;uni030C;;
uni021F;3;1;1;h;uni030C;;
uni0226;3;1;1;A;uni0307;;
uni0227;3;1;1;a;uni0307;;
uni0228;3;1;1;E;uni0327;;
uni0229;3;1;1;e;uni0327;;
uni022A;3;1;1;O;uni0308.case;uni0304.case;
uni022B;3;1;1;o;uni0308;uni0304;
uni022C;3;1;1;O;tildecomb.case;uni0304.case;
uni022D;3;1;1;o;tildecomb;uni0304;
uni022E;3;1;1;O;uni0307;;
uni022F;3;1;1;o;uni0307;;
uni0230;3;1;1;O;uni0307.case;uni0304.case;
uni0231;3;1;1;o;uni0307;uni0304;
uni0232;3;1;1;Y;uni0304;;
uni0233;3;1;1;y;uni0304;;
uni0249;3;1;1;uni025F;uni0307;;
uni0268;3;1;1;dotlessuni0268;uni0307;;
Alphatonos;3;0;0;Alpha;tonos;;
Epsilontonos;3;0;0;Epsilon;tonos;;
Etatonos;3;0;0;Eta;tonos;;
Iotatonos;3;0;0;Iota;tonos;;
Omicrontonos;3;0;0;Omicron;tonos;;
Upsilontonos;3;0;0;Upsilon;tonos;;
Omegatonos;3;0;0;uni03A9;tonos;;
iotadieresistonos;3;1;1;iota;dieresistonos;;
Iotadieresis;3;1;1;Iota;uni0308;;
Upsilondieresis;3;1;1;Upsilon;uni0308;;
alphatonos;3;1;1;alpha;tonos;;
epsilontonos;3;1;1;epsilon;tonos;;
etatonos;3;1;1;eta;tonos;;
iotatonos;3;1;1;iota;tonos;;
upsilondieresistonos;3;1;1;upsilon;dieresistonos;;
iotadieresis;3;1;1;iota;uni0308;;
upsilondieresis;3;1;1;upsilon;uni0308;;
omicrontonos;3;1;1;omicron;tonos;;
