Name;Styles;Copy anchors;Glyph 1;Glyph 2;Glyph 3;Glyph 4
copyright;3;1;uni24B8;;;
registered;3;1;uni24C7;;;
mu;3;1;uni03BC;;;
Dcroat;3;1;Eth;;;
IJ;3;0;I;J;;
ij;3;0;i;j;;
kgreenlandic;3;1;kappa;;;
uni01A9;3;1;Sigma;;;
uni01C3;3;1;exclam;;;
uni01C4;3;0;D;Zcaron;;
uni01C5;3;0;D;zcaron;;
uni01C6;3;0;d;zcaron;;
uni01C7;3;0;L;J;;
uni01C8;3;0;L;j;;
uni01C9;3;0;l;j;;
uni01CA;3;0;N;J;;
uni01CB;3;0;N;j;;
uni01CC;3;0;n;j;;
uni01F1;3;0;D;Z;;
uni01F2;3;0;D;z;;
uni01F3;3;0;d;z;;
uni0259;3;1;uni01DD;;;
uni0269;3;1;iota;;;
uni029C;3;1;uni043D;;;
uni037F;3;1;J;;;
Alpha;3;1;A;;;
Beta;3;1;B;;;
Epsilon;3;1;E;;;
Zeta;3;1;Z;;;
Eta;3;1;H;;;
Iota;3;1;I;;;
Kappa;3;1;K;;;
Mu;3;1;M;;;
Nu;3;1;N;;;
Omicron;3;1;O;;;
Rho;3;1;P;;;
Tau;3;1;T;;;
Upsilon;3;1;Y;;;
Chi;3;1;X;;;
omicron;3;1;o;;;
uni03F7;3;1;Thorn;;;
uni03F8;3;1;thorn;;;
uni0405;3;1;S;;;
uni0406;3;1;I;;;
uni0408;3;0;J;;;
uni0410;3;1;A;;;
uni0412;3;1;B;;;
uni0413;3;1;Gamma;;;
uni0415;3;1;E;;;
uni041A;3;1;K;;;
uni041C;3;1;M;;;
uni041D;3;1;H;;;
uni041E;3;1;O;;;
uni041F;3;1;Pi;;;
uni0420;3;1;P;;;
uni0421;3;1;C;;;
uni0422;3;1;T;;;
uni0425;3;1;X;;;
uni0430;3;1;a;;;
uni0433;2;1;uni01A8;;;
uni0435;3;1;e;;;
uni0438;2;1;u;;;
uni043A;3;1;kappa;;;
uni043E;3;1;o;;;
uni043F;2;1;n;;;
uni0440;3;1;p;;;
uni0441;3;1;c;;;
uni0442;2;1;m;;;
uni0443;3;1;y;;;
uni0445;3;1;x;;;
uni0455;3;1;s;;;
uni0470;3;1;Psi;;;
uni0471;3;1;psi;;;
uni04AE;3;1;Y;;;
uni04C0;3;1;I;;;
uni04D4;3;1;AE;;;
uni04D5;3;1;ae;;;
uni04D8;3;1;uni018F;;;
uni04D9;3;1;uni01DD;;;
uni04E0;3;1;uni01B7;;;
uni04E1;3;1;uni0292;;;
uni0501;3;1;d;;;
uni051A;3;1;Q;;;
uni051B;3;1;q;;;
uni051C;3;1;W;;;
uni051D;3;1;w;;;
uni1E9F;3;1;delta;;;
onedotenleader;3;0;period;;;
twodotenleader;3;0;period;period;;
ellipsis;3;0;period;period;period;
exclamdbl;3;0;exclam;exclam;;
uni2047;3;0;question;question;;
uni2048;3;0;question;exclam;;
uni2049;3;0;exclam;question;;
uni2103;3;0;degree;C;;
uni2107;3;1;uni0190;;;
uni2108;3;1;uni042D;;;
uni2117;3;1;uni24C5;;;
Omega;3;1;uni03A9;;;
uni2127;3;1;uni01B1;;;
uni212A;3;1;K;;;
uni212B;3;1;Aring;;;
uni216C;3;1;L;;;
uni216D;3;1;C;;;
uni216E;3;1;D;;;
uni216F;3;1;M;;;
uni2170;3;0;i;;;
uni2171;3;0;i;i;;
uni2172;3;0;i;i;i;
uni2173;3;0;i;v;;
uni2174;3;0;v;;;
uni2175;3;0;v;i;;
uni2176;3;0;v;i;i;
uni2177;3;0;v;i;i;i
uni2178;3;0;i;x;;
uni2179;3;0;x;;;
uni217A;3;0;x;i;;
uni217B;3;0;x;i;i;
uni217C;3;0;l;;;
uni217D;3;0;c;;;
uni217E;3;0;d;;;
uni217F;3;0;m;;;
uni2183;3;1;uni0186;;;
uni2184;3;1;uni0254;;;
universal;3;0;uni2C6F;;;
emptyset;3;0;Oslash;;;
Delta;3;0;uni0394;;;
product;3;0;Pi;;;
summation;3;0;Sigma;;;
uni2215;3;0;slash;;;
uni2216;3;0;backslash;;;
uniA64C;3;1;uniA7B6;;;
uniA64D;3;1;uniA7B7;;;
uniA789;3;0;colon;;;
uniA7B5;3;0;beta;;;
dcroat.sc;3;1;eth.sc;;;
ij.sc;3;0;i.sc;j.sc;;
dotlessi.sc;3;1;i.sc;;;
kgreenlandic.sc;3;1;k.sc;;;
longs.sc;3;1;s.sc;;;
uni01C5.sc;3;0;D;zcaron.sc;;
uni01C6.sc;3;0;d.sc;zcaron.sc;;
uni01C8.sc;3;0;L;j.sc;;
uni01C9.sc;3;0;l.sc;j.sc;;
uni01CB.sc;3;0;N;j.sc;;
uni01CC.sc;3;0;n.sc;j.sc;;
uni01F2.sc;3;0;D;z.sc;;
uni01F3.sc;3;0;d.sc;z.sc;;
uni0237.sc;3;1;j.sc;;;
uni0269.sc;3;1;iota.sc;;;
uni0283.sc;3;1;sigma.sc;;;
alpha.sc;3;1;a.sc;;;
beta.sc;3;1;b.sc;;;
epsilon.sc;3;1;e.sc;;;
zeta.sc;3;1;z.sc;;;
eta.sc;3;1;h.sc;;;
iota.sc;3;1;i.sc;;;
kappa.sc;3;1;k.sc;;;
uni03BC.sc;3;1;m.sc;;;
nu.sc;3;1;n.sc;;;
omicron.sc;3;1;o.sc;;;
rho.sc;3;1;p.sc;;;
tau.sc;3;1;t.sc;;;
upsilon.sc;3;1;y.sc;;;
chi.sc;3;1;x.sc;;;
uni03DD.sc;3;1;f.sc;;;
uni03F2.sc;3;1;c.sc;;;
uni03F3.sc;3;1;j.sc;;;
uni03F8.sc;3;1;thorn.sc;;;
uni0430.sc;3;1;a.sc;;;
uni0432.sc;3;1;b.sc;;;
uni0433.sc;3;1;gamma.sc;;;
uni0435.sc;3;1;e.sc;;;
uni043A.sc;3;1;kappa.sc;;;
uni043C.sc;3;1;m.sc;;;
uni043D.sc;3;1;h.sc;;;
uni043E.sc;3;1;o.sc;;;
uni043F.sc;3;1;pi.sc;;;
uni0440.sc;3;1;p.sc;;;
uni0441.sc;3;1;c.sc;;;
uni0442.sc;3;1;t.sc;;;
uni0445.sc;3;1;x.sc;;;
uni0455.sc;3;1;s.sc;;;
uni0456.sc;3;1;i.sc;;;
uni0458.sc;3;1;j.sc;;;
uni0471.sc;3;1;psi.sc;;;
uni04AF.sc;3;1;y.sc;;;
uni04D5.sc;3;1;ae.sc;;;
uni051B.sc;3;1;q.sc;;;
uni051D.sc;3;1;w.sc;;;
uni1E9F.sc;3;1;delta.sc;;;
uni2171.sc;3;0;i.sc;i.sc;;
uni2172.sc;3;0;i.sc;i.sc;i.sc;
uni2173.sc;3;0;i.sc;v.sc;;
uni2174.sc;3;0;v.sc;;;
uni2175.sc;3;0;v.sc;i.sc;;
uni2176.sc;3;0;v.sc;i.sc;i.sc;
uni2177.sc;3;0;v.sc;i.sc;i.sc;i.sc
uni2178.sc;3;0;i.sc;x.sc;;
uni2179.sc;3;0;x.sc;;;
uni217A.sc;3;0;x.sc;i.sc;;
uni217B.sc;3;0;x.sc;i.sc;i.sc;
uni217C.sc;3;0;l.sc;;;
uni217D.sc;3;0;c.sc;;;
uni217E.sc;3;0;d.sc;;;
uni217F.sc;3;0;m.sc;;;
Iota.cv22;3;1;I.cv22;;;
uni0406.cv22;3;1;I.cv22;;;
uni04C0.cv22;3;1;I.cv22;;;
dotlessi.sc.cv22;3;1;i.sc.cv22;;;
iota.sc.cv22;3;1;i.sc.cv22;;;
uni0456.sc.cv22;3;1;i.sc.cv22;;;
uni04D5.cv23;3;1;ae.cv23;;;
f.ss08;3;1;f;;;
i.ss08;3;1;i;;;
j.ss08;3;1;j;;;
l.ss08;3;1;l;;;
t.ss08;3;1;t;;;
uni0432.loclBGR;2;1;uni03D0;;;
uni0433.loclBGR;3;1;uni01A8;;;
uni0434.loclBGR;3;1;uni0261;;;
uni0438.loclBGR;3;1;u;;;
uni043A.loclBGR;3;1;k;;;
uni043F.loclBGR;3;1;n;;;
uni0442.loclBGR;3;1;m;;;
uni0444.loclBGR;3;1;uni0444;;;
uni0433.loclSRB;1;1;uni0433;;;
uni0434.loclSRB;3;1;uni0261;;;
uni043F.loclSRB;1;1;uni043F;;;
uni0442.loclSRB;1;1;uni0442;;;
uni0433.loclMKD;1;1;uni0433;;;
uni01C9.cv28;3;0;l.cv28;j;;
uni217C.cv28;3;0;l.cv28;;;
