Name;Allow left overflow;Allow right overflow;Base;Comp. 2;Comp. 3;Comp. 4
i;1;1;dotlessi;uni0307;;
j;1;1;uni0237;uni0307;;
Agrave;1;1;A;gravecomb;;
Aacute;1;1;A;acutecomb;;
Acircumflex;1;1;A;uni0302;;
Atilde;1;1;A;tildecomb;;
Adieresis;1;1;A;uni0308;;
Aring;1;1;A;uni030A;;
Ccedilla;1;1;C;uni0327;;
Egrave;1;1;E;gravecomb;;
Eacute;1;1;E;acutecomb;;
Ecircumflex;1;1;E;uni0302;;
Edieresis;1;1;E;uni0308;;
Igrave;1;1;I;gravecomb;;
Iacute;1;1;I;acutecomb;;
Icircumflex;1;1;I;uni0302;;
Idieresis;1;1;I;uni0308;;
Ograve;1;1;O;gravecomb;;
Oacute;1;1;O;acutecomb;;
Ocircumflex;1;1;O;uni0302;;
Otilde;1;1;O;tildecomb;;
Odieresis;1;1;O;uni0308;;
Ugrave;1;1;U;gravecomb;;
Uacute;1;1;U;acutecomb;;
Ucircumflex;1;1;U;uni0302;;
Udieresis;1;1;U;uni0308;;
Yacute;1;1;Y;acutecomb;;
agrave;1;1;a;gravecomb;;
aacute;1;1;a;acutecomb;;
acircumflex;1;1;a;uni0302;;
atilde;1;1;a;tildecomb;;
adieresis;1;1;a;uni0308;;
aring;1;1;a;uni030A;;
ccedilla;1;1;c;uni0327;;
egrave;1;1;e;gravecomb;;
eacute;1;1;e;acutecomb;;
ecircumflex;1;1;e;uni0302;;
edieresis;1;1;e;uni0308;;
igrave;1;1;dotlessi;gravecomb;;
iacute;1;1;dotlessi;acutecomb;;
icircumflex;1;1;dotlessi;uni0302;;
idieresis;1;1;dotlessi;uni0308;;
ntilde;1;1;n;tildecomb;;
ograve;1;1;o;gravecomb;;
oacute;1;1;o;acutecomb;;
ocircumflex;1;1;o;uni0302;;
otilde;1;1;o;tildecomb;;
odieresis;1;1;o;uni0308;;
ugrave;1;1;u;gravecomb;;
uacute;1;1;u;acutecomb;;
ucircumflex;1;1;u;uni0302;;
udieresis;1;1;u;uni0308;;
yacute;1;1;y;acutecomb;;
Amacron;1;1;A;uni0304;;
amacron;1;1;a;uni0304;;
Abreve;1;1;A;uni0306;;
abreve;1;1;a;uni0306;;
Aogonek;1;1;A;uni0328;;
aogonek;1;1;a;uni0328;;
Cacute;1;1;C;acutecomb;;
cacute;1;1;c;acutecomb;;
Ccircumflex;1;1;C;uni0302;;
ccircumflex;1;1;c;uni0302;;
Cdotaccent;1;1;C;uni0307;;
cdotaccent;1;1;c;uni0307;;
Ccaron;1;1;C;uni030C;;
ccaron;1;1;c;uni030C;;
Dcaron;1;1;D;uni030C;;
Emacron;1;1;E;uni0304;;
emacron;1;1;e;uni0304;;
Ebreve;1;1;E;uni0306;;
ebreve;1;1;e;uni0306;;
Edotaccent;1;1;E;uni0307;;
edotaccent;1;1;e;uni0307;;
Eogonek;1;1;E;uni0328;;
eogonek;1;1;e;uni0328;;
Ecaron;1;1;E;uni030C;;
ecaron;1;1;e;uni030C;;
Gcircumflex;1;1;G;uni0302;;
gcircumflex;1;1;g;uni0302;;
Gbreve;1;1;G;uni0306;;
gbreve;1;1;g;uni0306;;
Gdotaccent;1;1;G;uni0307;;
gdotaccent;1;1;g;uni0307;;
Gcommaaccent;1;1;G;uni0326;;
gcommaaccent;1;1;g;uni0312;;
Hcircumflex;1;1;H;uni0302;;
hcircumflex;1;1;h;uni0302;;
Itilde;1;1;I;tildecomb;;
itilde;1;1;dotlessi;tildecomb;;
Imacron;1;1;I;uni0304;;
